
 wsid         | year | month | day | system.max(temperature) | system.min(temperature) | system.avg(temperature) | system.avg(dewpoint) | system.avg(dewpoint)
 725030:14732 | 2013 |    11 |  23 |                    13.9 |                       0 |                  7.9875 |             40.12083 |             40.12083
 725030:14732 | 2013 |    11 |  22 |                    13.9 |                       0 |                10.86667 |               47.575 |               47.575
 725030:14732 | 2013 |    11 |  21 |                      10 |                       0 |                 5.17917 |             37.64167 |             37.64167
 725030:14732 | 2013 |    11 |  20 |                     6.7 |                       0 |                 3.24167 |              33.6875 |              33.6875
 725030:14732 | 2013 |    11 |  19 |                    15.6 |                       0 |                 8.60833 |             37.95833 |             37.95833
 725030:14732 | 2013 |    11 |  18 |                    18.3 |                       0 |                15.14167 |              48.0625 |              48.0625
 725030:14732 | 2013 |    11 |  17 |                      15 |                       0 |                11.04167 |                50.85 |                50.85
 725030:14732 | 2013 |    11 |  16 |                    14.4 |                       0 |                10.66667 |             43.65417 |             43.65417
 725030:14732 | 2013 |    11 |  15 |                    13.3 |                       0 |                  9.1375 |             36.15833 |             36.15833
 725030:14732 | 2013 |    11 |  14 |                    11.1 |                       0 |                  4.8875 |             32.31667 |             32.31667
 725030:14732 | 2013 |    11 |  13 |                     3.9 |                    -1.1 |                 1.09167 |              32.8375 |              32.8375
 725030:14732 | 2013 |    11 |  12 |                    11.1 |                       0 |                 6.12083 |                38.45 |                38.45
 725030:14732 | 2013 |    11 |  11 |                    11.7 |                       0 |                 8.82083 |             38.13333 |             38.13333
 725030:14732 | 2013 |    11 |  10 |                    15.6 |                       0 |                 9.64167 |             40.90417 |             40.90417
 725030:14732 | 2013 |    11 |   9 |                      10 |                       0 |                 6.59583 |             37.34167 |             37.34167
 725030:14732 | 2013 |    11 |   8 |                     9.4 |                       0 |                 7.49167 |             39.48333 |             39.48333
 725030:14732 | 2013 |    11 |   7 |                    17.2 |                       0 |                14.03333 |             51.97083 |             51.97083
 725030:14732 | 2013 |    11 |   6 |                      15 |                       0 |                11.35833 |             46.82917 |             46.82917
 725030:14732 | 2013 |    11 |   5 |                    12.8 |                       0 |                   7.975 |             39.84167 |             39.84167
 725030:14732 | 2013 |    11 |   4 |                     7.2 |                       0 |                 4.05417 |               33.675 |               33.675
 725030:14732 | 2013 |    11 |   3 |                    15.6 |                       0 |                 9.95417 |              43.1875 |              43.1875
 725030:14732 | 2013 |    11 |   2 |                    19.4 |                       0 |                 15.7375 |             49.71667 |             49.71667
 725030:14732 | 2013 |    11 |   1 |                    21.1 |                       0 |                18.10417 |             54.42083 |             54.42083
 725030:14732 | 2013 |    10 |  31 |                    18.3 |                       0 |                 14.6625 |               52.375 |               52.375
 725030:14732 | 2013 |    10 |  30 |                      15 |                       0 |                11.19167 |               45.225 |               45.225
 725030:14732 | 2013 |    10 |  29 |                    13.9 |                       0 |                    9.85 |             40.85417 |             40.85417
 725030:14732 | 2013 |    10 |  28 |                    16.1 |                       0 |                11.29583 |             40.43333 |             40.43333
 725030:14732 | 2013 |    10 |  27 |                    14.4 |                       0 |                11.18333 |             39.87917 |             39.87917
 725030:14732 | 2013 |    10 |  26 |                    12.8 |                       0 |                 9.37917 |             39.65417 |             39.65417
 725030:14732 | 2013 |    10 |  25 |                    12.2 |                       0 |                 8.27083 |             39.62083 |             39.62083
 725030:14732 | 2013 |    10 |  24 |                    12.2 |                       0 |                 8.75833 |               40.625 |               40.625
 725030:14732 | 2013 |    10 |  23 |                      15 |                       0 |                11.04167 |             43.64167 |             43.64167
 725030:14732 | 2013 |    10 |  22 |                    18.9 |                       0 |                14.72083 |                48.05 |                48.05
 725030:14732 | 2013 |    10 |  21 |                    18.9 |                       0 |                14.59167 |              42.8125 |              42.8125
 725030:14732 | 2013 |    10 |  20 |                    17.2 |                       0 |                13.98333 |             46.21667 |             46.21667
 725030:14732 | 2013 |    10 |  19 |                    17.2 |                       0 |                  14.625 |             46.77917 |             46.77917
 725030:14732 | 2013 |    10 |  18 |                      20 |                       0 |                17.11667 |                 50.2 |                 50.2
 725030:14732 | 2013 |    10 |  17 |                    22.2 |                       0 |                17.47917 |             55.55833 |             55.55833
 725030:14732 | 2013 |    10 |  16 |                    17.8 |                       0 |                15.04583 |             51.87917 |             51.87917
 725030:14732 | 2013 |    10 |  15 |                      20 |                       0 |                 15.2375 |             51.24583 |             51.24583
 725030:14732 | 2013 |    10 |  14 |                    17.8 |                       0 |                13.83333 |               48.975 |               48.975
 725030:14732 | 2013 |    10 |  13 |                    17.8 |                       0 |                15.32917 |             51.32917 |             51.32917
 725030:14732 | 2013 |    10 |  12 |                    22.2 |                       0 |                 17.9375 |             49.69583 |             49.69583
 725030:14732 | 2013 |    10 |  11 |                    20.6 |                       0 |                 17.0125 |             54.04167 |             54.04167
 725030:14732 | 2013 |    10 |  10 |                    18.3 |                       0 |                 14.4625 |             51.00417 |             51.00417
 725030:14732 | 2013 |    10 |   9 |                    17.2 |                       0 |                14.72083 |              47.9125 |              47.9125
